paper,group,S1_answer,S2_retrieval_recall,A1_evidence_complete,A2_stop_decision,A3_recovery,A4_trajectory,A5_tool_error,C1_calls,C2_cost,C3_latency,metrics_reported,source_url
Self-Ask,iterative,1,0,0,0,0,1,0,0,1,0,"Acc% (Bamboogle/2Wiki/MuSiQue); compositionality gap (A4, capability-framed); generated-token speed proxy",https://arxiv.org/abs/2210.03350
IRCoT,iterative,1,1,0,0,0,1,0,0,0,0,"EM/F1 (HotpotQA/2Wiki/MuSiQue/IIRC); gold-para recall (aggregate); manual CoT error count (A4)",https://arxiv.org/abs/2212.10509
DSP,iterative,1,0,0,0,0,0,0,0,0,0,"Answer EM/F1 (Open-SQuAD/HotpotQA); endpoint-only",https://arxiv.org/abs/2212.14024
Least-to-Most,iterative,1,0,0,0,0,0,0,0,0,0,"Acc (SCAN/GSM8K/DROP); acc-by-#steps; no retrieval",https://arxiv.org/abs/2205.10625
ITER-RETGEN,iterative,1,1,0,0,0,0,0,1,1,0,"EM/F1 (HotpotQA/2Wiki/MuSiQue); answer-recall across iters; #API calls + #paras",https://arxiv.org/abs/2305.15294
FLARE,iterative,1,0,0,0,0,0,0,1,0,0,"EM/F1 (2Wiki)+Disambig-F1; retrieval frequency % (trigger accuracy NOT measured)",https://arxiv.org/abs/2305.06983
Self-RAG,iterative,1,0,0,0,0,0,0,1,0,0,"acc (PopQA/TriviaQA/ARC), FactScore, citation prec/rec; retrieval-freq vs threshold",https://arxiv.org/abs/2310.11511
Adaptive-RAG,iterative,1,0,0,1,0,0,0,1,0,1,"EM/F1/Acc (6 sets); classifier routing accuracy (A2); step count; relative time",https://arxiv.org/abs/2403.14403
RaDeR,iterative,1,1,0,0,0,0,0,0,0,0,"nDCG@10 (BRIGHT/RAR-b); MRR@10 (MSMARCO); downstream QA Acc (TheoremQA); single-doc by design",https://aclanthology.org/2025.emnlp-main.1011/
Search-o1,iterative,1,0,0,0,0,0,0,0,0,0,"Pass@1 reasoning; EM/F1 (NQ/HotpotQA/2Wiki/MuSiQue/Bamboogle)",https://arxiv.org/abs/2501.05366
ReAct,agentic,1,0,0,0,0,1,0,0,0,0,"EM (HotpotQA), Acc (FEVER), Success (ALFWorld/WebShop); manual trajectory failure-mode % (A4, qualitative)",https://arxiv.org/abs/2210.03629
Toolformer,agentic,1,0,0,0,0,0,0,1,0,0,"Acc/EM (LAMA/QA/math), ppl; tool-call frequency % (not rounds)",https://arxiv.org/abs/2302.04761
FrugalRAG,agentic,1,1,0,0,0,0,0,1,1,1,"MBE (LLM-judge acc), Gold Evidence Recall%; avg #Searches; tokens+FLOPs+latency (appx)",https://arxiv.org/abs/2507.07634
SCMRAG,agentic,1,0,0,0,0,0,0,0,0,0,"Acc (PopQA/PubHealth/ARC/MultiHop-RAG), FactScore; top-n gen-acc curve (not recall)",https://www.ifaamas.org/Proceedings/aamas2025/pdfs/p50.pdf
A-RAG,agentic,1,0,0,0,0,0,0,0,1,0,"LLM-Acc/Contain-Acc (HotpotQA/2Wiki/MuSiQue/GraphRAG-Bench); retrieved-token counts; max-step sweep (not actual calls)",https://arxiv.org/abs/2602.03442
GraphRAG,graph,0,0,0,0,0,0,0,0,1,0,"LLM-judge win-rates + claim-faithfulness; context tokens. NO EM/F1, NO retrieval recall (summarization eval)",https://arxiv.org/abs/2404.16130
HippoRAG,graph,1,1,1,0,0,0,0,0,1,1,"EM/F1; Recall@2/5; All-Recall@2/5 = %queries ALL support retrieved (A1); API $ + time (online); C1=0 single-step by design (reconciled)",https://arxiv.org/abs/2405.14831
HippoRAG2,graph,1,1,0,0,0,0,0,0,1,1,"F1/EM; passage recall@2/5 (aggregate); Appendix F tokens/indexing cost and time per query",https://arxiv.org/abs/2502.14802
GNN-RAG,graph,1,1,0,0,0,0,0,1,1,0,"Hit/Hits@1/F1; Answer-Coverage % (>=1 answer, partial); #LLM calls, tokens, $",https://arxiv.org/abs/2405.20139
Think-on-Graph,graph,1,0,0,0,0,1,0,1,0,0,"Hits@1 (9 sets); path-overlap vs ground-truth SPARQL paths (A4 quantitative); theoretical call bound",https://arxiv.org/abs/2307.07697
ToG-2,graph,1,0,0,0,0,0,0,1,0,1,"EM/Acc (7 sets); runtime vs ToG (relative); 50-sample answer-source study (not path-correctness)",https://arxiv.org/abs/2407.10805
KG2RAG,graph,1,1,0,0,0,0,0,1,1,1,"Response F1/P/R; Retrieval F1/P/R vs referenced facts (S2); tokens+calls; ms latency (C3)",https://aclanthology.org/2025.naacl-long.449/
